,dots-comparison_IES,match-sample_IES,match-sample-rotate_IES,match-points-number_IES,symbolic-magnitude_IES,numeric-line_IES,counting_IES,counting-true_IES,simple-arithmetic-plus_IES,simple-arithmetic-minus_IES
56,5758.0,7008.814286,6505.875,4797.8,1478.1,4420.111111,4420.111111,4236.526316,5798.0,6908.052632
57,2257.5,4199.7375,4045.3875,2967.625,1672.1,5148.271429,3592.714286,3596.470588,2839.0,4557.111111
58,3028.625,4757.014286,4708.928571,3180.6,1503.555556,28777.05556,4090.111111,,4782.0,7403.388889
59,5808.7,8205.685714,6834.75,5056.4,1860.3,20798.0,5608.0,7378.8125,8962.8,9716.75
60,1453.8,5409.257143,5474.442857,5730.571429,1641.4,9311.291667,6531.625,5634.388889,10619.875,8688.944444
61,2182.5,16232.625,12456.6,6280.1,2363.444444,6444.873016,6548.111111,6892.0,9579.9,18798.72727
62,2363.0,9538.65,10565.82,5205.2,1821.8,12357.69444,5110.555556,9216.210526,7651.111111,10279.05263
63,1422.666667,4919.785714,4244.175,4673.0,1808.5,32688.9375,4323.875,4643.25,2891.4,3743.95
64,4432.9,8581.65,4758.4125,4790.6,1514.3,3920.914286,4005.142857,3673.352941,4869.9,4604.25
65,1086.5,3697.425,4038.557143,2295.125,1045.2,2901.847222,1417.777778,1671.611111,1289.6,1526.55
66,3061.6,7291.2,6464.057143,4218.9,1326.1,6292.696429,4076.875,5105.529412,4201.7,7357.0625
67,3771.555556,5084.742857,4853.442857,6746.857143,1832.1,6859.027778,5575.25,7799.722222,8526.8,9412.1
68,7853.9,9053.85,8682.685714,5800.4,1672.3,12778.18519,7175.111111,7644.684211,7911.0,11785.52632
69,2983.0,6144.2,5811.8625,4379.4,2451.9,8847.214286,5518.5,5471.666667,8019.0,8353.0
70,1522.2,10184.55,6363.0,6667.4,2419.6,35611.28571,5527.285714,4666.882353,6528.3,7976.1
71,1686.4,11793.6,4765.275,4435.7,2541.666667,16532.25,8803.0,8198.235294,16332.875,14457.88235
72,1588.1,10103.04,13762.5,5042.8,1709.7,63135.66667,3675.666667,7085.705882,10372.8,10864.31579
73,7463.6,11719.8,7770.15,4868.3,2458.0,17518.90741,4413.444444,8129.4,13976.57143,16828.06667
74,3411.6,17382.9,10021.14,8320.6,2485.888889,15871.88889,5138.333333,5912.842105,7199.8,11538.78947
75,3051.333333,15030.3,6633.6,3597.888889,1162.8,9539.377778,3236.888889,5927.8,9207.0,17815.33333
76,1707.4,6346.9125,11828.52,5187.4,1506.5,19946.66667,4223.333333,4496.631579,7414.7,11272.4
77,11949.11111,9303.942857,10317.6,5997.0,2376.222222,39357.2381,8775.714286,10433.0625,20200.5,18380.8
78,1898.9,8013.24,12206.1,3527.5,1871.3,14894.45833,4770.375,17055.7,11979.66667,
79,4405.555556,6328.414286,8732.25,8131.25,1886.222222,7074.180556,4600.444444,4537.157895,8125.6,12510.76471
80,2626.7,8718.75,15602.85,2884.75,2537.2,7304.214286,9178.5,9941.333333,18779.4,42988.4
81,3409.3,378.7,5290.2,4805.4,1962.4,17764.16667,4190.666667,4666.421053,9530.6,15637.94737
82,,6933.42,10179.0,5803.6,1723.4,15253.66667,4791.666667,4828.684211,7104.125,13412.35714
83,2970.3,7414.071429,6184.8,5558.0,1852.8,10955.50794,3935.555556,5285.777778,11747.6,11429.45
84,5086.0,6540.6,10688.625,5387.5,2235.333333,24522.44444,5249.333333,6119.0,7366.8,10103.35294
85,4602.7,12181.68,8268.0,5311.2,1531.5,16569.2381,3952.666667,4462.526316,4537.7,7228.526316
86,3768.2,11607.94286,5179.3,5185.777778,2080.6,11109.25926,6449.555556,8534.388889,10311.9,9607.421053
87,19639.1,6326.871429,12033.54,7081.1,4657.555556,27283.16667,9832.333333,20844.2,13055.7,24221.0
88,1907.6,7857.225,10732.725,5934.375,1820.8,13722.4375,12254.75,25178.0,3770.5,9174.125
89,1981.6,6036.0,3965.1,5220.5,3008.9,22419.60714,7355.428571,18540.66667,16254.66667,44802.5
90,5121.8,7817.04,3799.2375,3361.9,1586.9,7475.875,6527.25,8140.222222,9162.888889,20032.0
91,1862.3,5446.4625,9391.725,6368.0,2112.333333,7868.793651,5670.555556,6200.944444,8966.9,19277.3
92,2629.428571,11225.7,5806.98,4078.5,5673.5,5664.527778,6185.75,11813.53846,16199.125,35569.0
93,4412.777778,5826.471429,5011.3125,10182.33333,3179.0,22758.28,31186.4,32676.16667,37913.0,69798.57143
94,4061.222222,30965.85,21666.0,9320.3,12992.25,12860.7037,6612.111111,9207.210526,41814.75,92391.2
95,6390.555556,14609.7,4583.7,5009.0,1802.5,17451.8125,5682.25,5505.941176,7497.6,19465.0625
96,2356.444444,5364.4,3979.2,4883.666667,2124.3,11734.66667,6017.333333,6229.157895,10225.6,29382.81818
97,2744.0,15232.2,4672.4625,4970.9,2571.444444,5186.555556,6234.0,10985.1875,20181.6,35545.90909
98,5989.857143,13708.35,18667.26,10173.77778,9532.0,60200.25,29239.5,32894.14286,43469.5,88536.25
99,1869.5,14763.6,14657.04,5582.0,2137.666667,8139.326531,8210.285714,9411.846154,6622.9,12143.85714
100,1516.0,37352.7,6802.56,4854.2,2154.7,8625.733333,3871.666667,4973.823529,20229.8,52318.0
101,1835.8,7997.94,5322.857143,4677.444444,1886.4,7611.952381,7808.714286,8214.0,12303.0,26455.4
102,3295.9,8144.28,6332.1,6044.9,2468.9,16417.19444,5121.777778,6560.944444,18917.11111,27579.5
103,3422.25,16686.45,10078.425,7786.333333,12426.66667,10972.51852,6815.666667,23358.5,32697.83333,50408.11111
105,1996.8,5530.5,5931.3,5803.0,2014.666667,5329.5,4677.0,7313.25,13920.125,23859.25
106,1979.9,6061.3875,9090.45,5072.222222,3601.25,5529.936508,6165.555556,7937.0,11113.2,22152.0
107,1976.777778,6106.65,7810.02,6645.777778,1231.2,16594.40741,4716.222222,5373.315789,6441.3,8922.842105
108,2950.2,4700.314286,,6358.555556,2011.5,5997.802469,5798.222222,12044.26667,,125280.5
109,5434.2,6437.7,8583.075,5080.9,2920.555556,55171.05556,7769.111111,9541.105263,23745.66667,37641.42857
110,5132.285714,6087.342857,23467.5,,1741.2,19966.22222,5889.666667,5738.5,9027.5,20903.8
