,dots-comparison_LISAS_correct,match-sample_LISAS_correct,match-sample-rotate_LISAS_correct,match-points-number_LISAS_correct,symbolic-magnitude_LISAS_correct,numeric-line_LISAS_correct,counting_LISAS_correct,counting-true_LISAS_correct,simple-arithmetic-plus_LISAS_correct,simple-arithmetic-minus_LISAS_correct
30,1658.9,7992.810947674301,4394.555555555556,4073.1,1656.8,4014.3,3652.625589929586,4149.22925155653,3368.6,4508.45
31,1770.0,4624.222222222223,3742.5555555555557,4158.6,1166.5,3209.3,4067.267342944431,4186.022135443313,6643.767048025302,12977.231431979226
32,1135.1,3613.0,5419.839439334184,5230.635312581879,1134.6,9980.68851784659,4196.582158452352,4906.873767502095,7021.498593627335,7846.415401274683
33,4845.0,9048.858932247213,4795.0,3482.0,1316.4,13448.313328554732,3753.2306054145247,,2255.3,4126.65
34,,4028.1111111111113,6150.479132874328,3319.6,1103.1,13293.953614186106,3721.6666666666665,4244.789473684211,5853.8,6298.4
35,2866.5,7520.628700176598,6046.180866035696,10721.67664917686,1233.1,4535.635949210926,2014.0,2358.3684210526317,3074.9,9796.258746923333
36,3408.3,7661.005479508909,6987.4266207342425,16145.567867904212,1984.6,7889.531593160927,4381.0,13667.785677335172,23623.253342904234,
37,2889.0,20218.428958153938,11000.382565511172,4257.6,1952.9,10809.116374840036,3398.222222222222,9146.73140877375,5283.5,5071.75
38,2666.6,6142.32488797224,6615.565269229137,3421.8,1221.3,2515.0,4672.671347230414,5731.759051488627,7750.616053147918,9356.061749166043
39,1856.2,5696.336960821018,8081.988855945388,3262.8,1731.8,8924.198206293844,4210.666666666667,9291.355807754824,4145.5,5110.35
40,10941.037954645799,17665.596686194287,4854.333333333333,4608.7,1819.1,7052.894391642372,5109.444444444444,5474.736842105263,17436.388228526703,21747.94488880304
41,8479.398637091239,17769.927307325186,10324.034926748514,5185.3,1582.1,5272.5,2949.8888888888887,3657.8947368421054,4681.8,6039.35
42,2699.7,7139.843086505212,3959.0,6348.425682020961,1287.7,5229.637811042661,4030.1111111111113,4220.684210526316,3808.7,5038.95
43,2530.2,3863.222222222222,8213.391934307767,4466.8,1415.9,9700.63799302727,3047.1111111111113,4938.0,5815.7,7673.75
44,14674.483142638432,4374.192430373918,7926.796298878445,5454.833923195771,1363.5,5353.7320283753415,3513.5555555555557,8941.069671218032,9610.686397025944,11203.838709385367
45,1730.7,5704.9116997293895,8112.1666888787295,3410.6,1513.8,6739.129544691454,2934.6666666666665,2899.7894736842104,5394.605597685373,3741.183940507667
46,2195.7,4134.376578350985,4733.706405165552,3130.1011195178144,2781.406685658799,4546.674917061015,4529.666666666667,18001.84422387802,9271.27927944847,12450.44690068263
47,1367.2,7840.8754953196985,6251.672137325756,4889.6,,7220.389096702796,4132.246836604637,8271.26796527322,6280.650481246527,14512.0734088675
48,1503.8,3467.799310486637,5954.174556024742,4668.315523352343,1418.7,3027.75,3555.5555555555557,10256.320466763735,4322.5,5415.0
49,2843.2498392281213,9038.663868194904,13497.875789806003,6039.7,2154.6286372036097,9369.82082242272,3205.4444444444443,5717.09666817832,15329.7390958853,26372.34030593409
50,1856.0,5661.802132938541,12632.369671206754,5673.8,1288.7,7516.75,3663.777777777778,3882.4736842105262,,19384.030208767617
51,2074.543648415934,7324.353433921349,5245.849056430186,3399.7,2343.063081994501,3091.0,3343.4444444444443,2976.0,4183.6,12014.034917029134
52,2729.2,6670.254980948605,6512.930042036668,8306.672055204559,1507.7,5143.0,4162.111111111111,16520.4736789296,3722.4696270909035,9520.384855897737
53,3881.9924285796815,4744.693581197204,4219.888888888889,5690.7,1877.1,20825.718819276015,5692.240087537596,14181.583063986032,3829.7,4336.05
54,2909.6,7361.490807599728,4245.296445352477,3817.9,1222.4,5986.7,3647.5555555555557,13402.298983766439,4313.9,9836.658239041044
55,2077.9,5220.623957023983,6228.927412311354,8881.827919987001,1835.7,2479.0,4327.444444444444,5565.631578947368,6451.8,23980.534511530666
56,15848.459690047246,7315.526912830587,9876.018491099449,4797.8,1478.1,,4420.111111111111,4236.526315789473,5798.0,17318.6955231798
57,3157.072915632044,4709.33736686449,5981.0396094142125,3614.743200429868,1672.1,5156.9,4582.495875555617,6669.789746264202,2839.0,8829.180033018267
58,3162.250914130297,4683.649944883747,5467.484920509375,3180.6,2365.838893824849,11166.5,4090.1111111111113,,4782.0,21569.059869500725
59,5808.7,7748.037060631932,6954.943411470443,5056.4,1860.3,9290.823836107555,10289.570135424216,10855.557151928664,8962.8,9716.75
60,1453.8,5729.737454553742,6226.832783423696,11511.274966040759,1641.4,19638.83452240833,12662.520932049581,13891.856782971074,13697.646120974478,15105.33538386884
