,dots-comparison_LISAS,match-sample_LISAS,match-sample-rotate_LISAS,match-points-number_LISAS,symbolic-magnitude_LISAS,numeric-line_LISAS,counting_LISAS,counting-true_LISAS,simple-arithmetic-plus_LISAS,simple-arithmetic-minus_LISAS
19,2467.1,5722.463847927537,4777.3,2729.3,2414.5241311797163,6497.9125,9250.617661216676,,3819.2,4794.55
20,1471.4,5773.252629395447,5646.931392737838,,1084.2,5314.660220795871,8988.355491460863,9368.174778869266,2395.0,3121.25
22,1806.1,4841.967161729737,14917.329629744552,8272.295694669652,1430.8,7976.983441164786,5249.685311935461,5997.169997695687,4002.7,14837.065111920867
23,2984.593539309558,7269.2330568947355,3339.0,2412.2,1163.7,7489.811657316795,5797.456227891675,6438.839586187695,3049.7,7094.41850817282
25,2031.1,5797.8,4095.9,2764.8,1582.5,10052.139771840215,4501.166148103547,,3079.3,4905.95
26,1379.5,3378.9,3209.777778,,1022.6,3083.971429,4337.864506027244,5260.0094992907425,2055.6,5434.251578400112
27,3331.1,7625.0584314959215,5870.333333,,,10534.401021281514,8960.836217365977,8357.756322038033,16464.766096011557,20358.330931686043
28,4115.1,6869.488148069043,8713.182372468995,,1536.0,5021.6375,5937.664295215427,13972.068656274696,6910.5,23281.19503350238
29,2101.2,12016.080043364478,4075.2,2972.4,1601.0,7078.399925430293,6630.687829489206,8350.550617553257,4336.8,26842.580375372523
30,1658.9,7579.3914312403585,4401.7,4073.1,1656.8,3970.6375,8080.802784732554,8170.242671919683,3368.6,4508.45
31,1770.0,4634.2,3534.8,4158.6,1166.5,3472.24,4522.150372775346,4759.791609125539,6790.93678972871,14943.05433751716
32,1135.1,3551.6,5370.472322797666,5284.947140326896,1134.6,9439.617921758276,5833.201849525873,6203.005993644978,6832.874437778248,7749.159238350725
33,4845.0,8102.5601687630515,4561.3,3482.0,1316.4,14582.073129846664,7863.770363558655,,2255.3,4126.65
34,,4007.3,5828.311734270534,3319.6,1103.1,13195.53460562004,3721.666667,4244.789474,5853.8,6298.4
35,2866.5,7086.709866404235,5737.046981194257,10489.982576124507,1233.1,4282.486626308267,2014.0,2358.368421,3074.9,13277.430155512393
36,3408.3,6629.380451453139,6599.981248132472,15438.628273143615,1984.6,9090.691585908615,4381.0,14180.509756115891,26164.340820505866,
37,2889.0,29414.959713904173,10850.887970429805,4257.6,1952.9,14360.667062515451,3398.222222,8998.647351103386,5283.5,5071.75
38,2666.6,6306.507974032671,6104.039693180796,3421.8,1221.3,3539.249345627155,4865.854031234125,5695.843966786932,9239.954986112125,9696.39807300969
39,1856.2,5405.125434525057,7660.34003038661,3262.8,1731.8,11187.171244498335,4210.666667,9581.090369070771,4145.5,5110.35
40,10688.221340953167,16999.938653465662,4827.0,4608.7,1819.1,12717.00002267984,5109.444444,5474.736842,17406.736612527842,21471.524054804613
41,8502.47551949459,16835.51019886182,9883.038261856826,5185.3,1582.1,5185.788889,2949.888889,3657.894737,4681.8,6039.35
42,2699.7,6875.971941830576,3828.0,6158.494532376188,1287.7,4740.875117402182,4030.111111,4220.684211,3808.7,5038.95
43,2530.2,4000.3,8035.974610321187,4466.8,1415.9,9265.278946207052,3047.111111,4938.0,5815.7,7673.75
44,14070.841628802456,5028.330070361424,7125.003655288692,5971.904043734416,1363.5,5455.324086483346,3513.555556,8797.166105592787,9329.298503898704,10690.741969351035
45,1730.7,5533.820460962819,6824.441967569379,3410.6,1513.8,5484.98110958595,2934.666667,2899.789474,6094.141330818769,6381.516692743773
46,2195.7,5158.965602942845,5195.142305675712,2658.5080793163606,2715.0249997660967,4318.135051571895,4529.666667,17804.967816218967,9056.669041614121,12219.35261746034
47,1367.2,10381.072207913623,8358.632037996527,4889.6,,7426.585083520449,4438.3093630699,8328.703142705253,8425.165284638055,14835.7090712459
48,1503.8,3786.9701656107163,5683.34569732443,4895.92310722,1418.7,4386.985949604888,3555.555556,19521.63144874556,4322.5,5415.0
49,2822.3621034596026,8523.338464008675,12822.375130520064,6039.7,2109.909191383857,10181.551584505394,3205.444444,5810.896787201869,29188.49146698122,34857.97533047598
50,1856.0,7406.638759499187,11344.995287248103,5673.8,1288.7,10809.08578176496,3663.777778,3882.473684,,16848.35683996613
51,2653.4691116164186,7188.44679397033,4733.148199043762,3399.7,2282.4573590957643,6530.822282728148,3343.444444,2976.0,4183.6,12316.78107605853
52,2729.2,6844.990775207061,6793.086453274741,8253.658748223948,1507.7,7451.699933231137,4162.111111,16250.649780237964,6697.622601974221,10590.604526909974
53,4389.767191677579,4928.364612799773,4366.2,5690.7,1877.1,21813.29946510627,5676.703791014111,13912.722466069612,3829.7,4336.05
54,2909.6,7134.6516355107,5112.917533535097,3817.9,1222.4,5908.955556,3647.555556,13815.065032504299,4313.9,9780.818610588325
55,2077.9,5142.523126058287,7021.3521915669835,9317.403043071172,1835.7,5528.801298908296,4327.444444,5565.631579,6451.8,24542.153556417557
56,15987.3390939682,7371.89070779733,10058.333235206572,4797.8,1478.1,,4420.111111,4236.526316,5798.0,17122.359675104708
57,2995.04903178969,5108.0908731631025,5678.821642311515,4109.227073156315,1672.1,5148.271429,4415.855149119119,6528.548013351142,2839.0,9673.87302012311
58,4939.675945530313,4526.656245170212,4913.904993697624,3180.6,2863.3207368949015,7308.296380425916,4090.111111,,4782.0,23924.988229164763
59,5808.7,8041.179296451815,6378.376334472156,5056.4,1860.3,11144.32950027664,10510.074930291881,15534.165169107406,8962.8,9716.75
60,1453.8,5435.603119370913,6013.23707154608,9934.955280403821,1641.4,24830.106572853256,12360.96921837286,13730.808476054943,16333.166740388513,17529.962704422218
61,2182.5,9949.701597911895,4746.286693950817,6280.1,3869.25424403237,7591.431171540733,6548.111111,6892.0,9579.9,22830.173919741923
62,6525.548359514112,9448.583544604675,8602.005488891098,5205.2,1821.8,26230.414639849594,5110.555556,9216.210526,19809.819218791323,43224.21095665872
